SampleID,Embryo_pseudotime
E1A.11,1
U1O.01,NA
E1B.23,2
E1B.14,3
E1B.07,4
E1C.29,5
E1B.01,6
E1A.33,7
E1C.06,8
E1C.40,9
E1B.30,10
E1B.34,11
E1A.23,12
U1O.03,NA
E1A.38,13
E1B.29,14
E1C.39,15
E1B.28,16
E1A.16,17
E1C.30,18
E1B.33,19
E1C.16,20
E1B.16,21
E1B.39,22
E1C.23,23
E1A.29,24
E1B.27,25
E1A.09,26
E1B.03,27
E1C.14,28
E1A.14,29
E1C.34,30
E1A.19,31
E1B.09,32
E1B.15,33
E1C.09,34
E1A.37,35
E1A.30,36
E1C.26,37
U1O.08,NA
U1O.02,NA
E1A.26,38
E1C.22,39
E1C.12,40
U1O.05,NA
E1A.05,41
E1C.36,42
E1B.32,43
E1C.05,44
E1A.22,45
E1A.03,46
E1C.04,47
E1B.04,48
E1A.08,49
E1B.02,50
E1C.19,51
E1B.10,52
U2O.01,NA
E1A.25,53
E1C.13,54
E1C.33,55
E1A.02,56
E1B.38,57
E1C.37,58
E1A.04,59
E1A.36,60
E1A.01,61
E1C.18,62
E2B.08,63
E1A.27,64
E1B.26,65
E1C.31,66
E2B.04,67
E1B.35,68
E2A.02,69
E2B.18,70
E2A.01,71
E2B.05,72
U2O.07,NA
E2B.12,73
E2A.15,74
E2C.06,75
E2B.16,76
E2A.16,77
E2A.17,78
E2C.14,79
E2C.02,80
E2B.13,81
E2B.19,82
E2A.23,83
E2C.20,84
E2C.29,85
E2C.27,86
E2C.12,87
E2C.13,88
E2A.08,89
E2B.09,90
E2A.10,91
E2C.25,92
E2B.07,93
E2C.24,94
E2A.03,95
E2A.26,96
E2B.10,97
E2C.10,98
E2B.11,99
U2O.08,NA
E2A.11,100
E2B.32,101
E2B.31,102
E2B.21,103
E2C.11,104
E2B.25,105
E2B.15,106
E2C.40,107
E2A.12,108
E2B.06,109
E2A.28,110
E2C.15,111
E2B.28,112
E2A.14,113
E2A.07,114
E2C.34,115
E2A.09,116
E2C.04,117
E2A.37,118
E2A.40,119
E2C.39,120
E2A.06,121
E2B.22,122
E2A.33,123
E2C.37,124
E2C.31,125
E2B.37,126
E2B.24,127
E2C.23,128
E2C.03,129
E2A.30,130
E2A.21,131
E2B.36,132
E2C.28,133
E2B.23,134
E2A.39,135
E1B.21,136
E2B.35,137
E2B.20,138
E2C.36,139
E2C.18,140
E2C.32,141
E2C.26,142
E2A.22,143
E3C.10,144
E3C.14,145
E3C.13,146
E3C.04,147
E3A.02,148
E3B.07,149
E3C.09,150
E3B.11,151
E3B.23,152
E3A.24,153
E2C.08,154
E3A.08,155
E3C.21,156
E3B.03,157
E3B.20,158
E2B.01,159
E3A.33,160
E3A.05,161
E3A.26,162
E3A.35,163
E3A.15,164
E2C.09,165
E3C.02,166
E3B.30,167
E3B.36,168
E3C.01,169
E3A.01,170
E2A.25,171
E3A.19,172
E3B.27,173
E2B.17,174
E2A.27,175
E3A.32,176
E3B.09,177
E3A.31,178
E2A.05,179
E3A.04,180
E3B.26,181
E3A.07,182
E2A.24,183
E2A.31,184
E2A.18,185
E3B.19,186
E3C.24,187
E3A.10,188
E3B.06,189
E3B.01,190
E2A.29,191
E3A.21,192
E3C.03,193
E3B.10,194
E3B.32,195
E2B.39,196
E3A.22,197
E3C.39,198
E2B.34,199
E3B.16,200
E3A.28,201
E2A.32,202
E3C.15,203
E3B.28,204
E3A.09,205
E3C.05,206
E3B.29,207
E3B.33,208
E2B.26,209
E3C.25,210
E3B.15,211
E3C.06,212
E3C.33,213
E3A.27,214
E3A.29,215
E3B.05,216
E2B.33,217
E2C.30,218
E3C.08,219
E2C.19,220
E3B.22,221
E3B.40,222
E3A.40,223
E3B.12,224
E3B.08,225
E3B.31,226
E3C.11,227
E3C.22,228
E3B.21,229
E3B.34,230
E3C.12,231
E2C.21,232
E3B.39,233
E2C.16,234
E2B.14,235
E1C.03,236
E1A.12,237
E2B.30,238
E2B.03,239
E1B.22,240
E1A.07,241
E1C.02,242
E1B.36,243
E1A.40,244
E3B.38,245
