name,QC-B1-1_3,2C-31,1A-25,3C-31,3B-13,3O-03,3A-19,3B-07,1C-37,1B-01,2C-19,1A-31,3A-13,QC-B1-1_4,1B-31,2A-13,2B-31,1C-07,3A-31,1C-31,2C-25,3B-19,3C-07,1B-25,3C-13,QC-B1-1_5,1B-19,3A-01,1C-01,1A-19,2B-37,2O-05,3C-37,3A-07,2B-25,1B-37,1A-37,QC-B1-1_6
3-Hydroxy-DL-kynurenine,1493,65,66,98,56,41,118,115,88,42,23,4711,53,1664,10090,8403,83,5129,85,114,105,100,91,1739,122,1520,8378,47,47,119,118,30,88,79,62,120,70,1759
Adenine,155,259,492,246,208,316,400,297,261,284,468,215,309,235,185,410,372,334,313,310,283,301,352,235,396,421,312,346,402,369,333,315,229,378,276,337,260,384
Adenosine,442,436,531,529,500,411,532,438,488,437,426,365,433,386,417,393,354,353,412,374,354,449,367,397,420,281,379,252,395,176,297,444,293,403,309,336,307,339
ADP,884,167,210,102,181,215,197,149,167,198,162,105,133,704,161,232,238,223,138,162,214,156,178,137,279,843,147,234,174,150,207,334,243,225,161,182,180,724
alpha-D-Ribose-5-phosphate,698,493,534,610,672,279,419,373,677,407,331,255,361,1241,319,324,574,438,492,917,257,487,526,449,465,1245,843,304,519,552,625,742,452,499,582,667,153,1144
alpha-Ketoglutaric-acid,115400,28078,79890,92719,95009,110892,211928,213789,99077,210276,23220,112493,238015,120595,118432,90947,85878,22579,92148,92294,22502,240225,107191,93659,101673,101510,25073,99042,214453,232474,84536,84028,24287,98916,353919,23552,23384,117060
AMP,3710,2423,2092,1891,1963,2076,2055,2313,1969,2168,2243,1363,1636,4403,1581,1558,2003,1800,2090,1920,1756,1874,1617,1592,2004,4050,1577,2164,1859,2055,2009,2218,2199,2257,1752,3252,1791,4163
Arginine,1265,945,933,1258,906,648,1138,653,999,953,1025,1205,845,1371,1015,1250,672,753,955,1086,1504,1885,852,966,871,1429,1765,1973,736,1082,1208,1071,1236,1415,829,2523,957,1545
Asparagine,9027,3859,2811,5819,4578,2509,4858,3959,3368,2622,5190,7644,3204,8543,9565,8245,4155,6540,5705,4217,3868,5572,6257,7122,4865,9326,8754,4247,2326,3197,5259,3059,5019,4532,5002,9678,3290,9510
ATP,116350,14591,10556,13091,18041,18836,14660,10101,16310,14822,13853,13529,15372,113004,12790,13090,15630,9918,12243,17208,11617,15664,21177,6993,11852,115211,12227,12045,10880,14852,19540,16612,15065,13419,11716,10803,13971,109314
cAMP,78,139,156,81,169,167,198,151,259,214,282,204,212,232,354,161,201,170,73,174,58,218,316,193,118,141,211,109,204,193,42,138,202,70,127,131,118,117
CDP,1882,328,534,605,816,749,588,431,553,658,685,566,813,1870,344,547,686,585,643,538,608,616,607,569,404,1452,384,490,498,547,512,899,581,757,476,825,423,1692
cGMP,23,92,92,41,56,110,88,93,39,128,86,79,31,80,99,28,88,70,60,31,44,84,3,10,63,52,58,48,45,64,56,50,61,36,96,98,45,20
Citrate(IsoCitrate),282371,102265,90972,112229,109421,121984,115040,99583,100926,102289,93631,137855,120250,284811,162488,160305,107369,102970,110282,111375,100460,117289,116227,109364,92817,284744,166733,127030,92231,95818,108028,99390,99440,103325,103890,112905,101771,286603
Citrulline,149,464,515,342,301,294,503,633,181,491,359,243,282,193,302,350,471,235,567,407,2212,754,193,234,219,229,248,863,163,213,450,258,244,114,258,413,205,132
CMP,763,289,522,154,417,574,679,458,549,526,412,597,487,805,199,696,511,538,498,376,658,547,585,305,419,973,281,583,405,741,480,659,743,575,808,819,571,895
CTP,13267,1527,1434,1851,2777,2391,1621,1244,2034,1677,1681,1351,2222,12658,721,1145,2163,1098,1382,2374,1880,2247,2678,813,1537,12365,728,1634,1477,1965,2535,2429,1915,1468,1346,1332,1748,12481
Cystine,72,47,57,23,75,49,110,73,61,101,44,55,40,56,58,36,91,113,74,65,100,18,62,30,48,143,119,109,56,115,77,102,17,39,89,22,95,39
