name,QC-B1-1_3,QC-B1-1_4,QC-B1-1_5,QC-B1-1_6,QC-B1-2_8,QC-B1-2_9,QC-B1-2_10,QC-B2-1_3,QC-B2-1_4,QC-B2-1_5,QC-B2-1_6,QC-B2-2_7,QC-B2-2_8,QC-B2-2_9,QC-B2-2_10,QC-B3-1_3,QC-B3-1_4,QC-B3-1_5,QC-B3-1_6,QC-B3-2_9,QC-B3-2_10,QC-B3-2_11,QC-B3-2_12,QC-B4-1_03,QC-B4-1_04,QC-B4-1_05,QC-B4-1_06,QC-B4-2_09,QC-B4-2_10,QC-B4-2_11,QC-B4-2_12,QC-B5-1_03,QC-B5-1_04,QC-B5-1_05,QC-B5-1_06,QC-B5-2_09,QC-B5-2_10,QC-B5-2_11,QC-B5-2_12,QC-B6-1_03,QC-B6-1_04,QC-B6-1_05,QC-B6-1_06,QC-B6-1_07,QC-B6-1_08
batch,1.1,1.1,1.1,1.1,1.2,1.2,1.2,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.2,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,4.1,4.1,4.1,4.1,4.2,4.2,4.2,4.2,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2,6.1,6.1,6.1,6.1,6.1,6.1
3-Hydroxy-DL-kynurenine,1493,1664,1520,1759,1127,1074,1050,1454,1440,1411,1296,1578,1566,1733,1679,1649,1774,1407,1589,730,707,483,477,1568,1559,1785,1501,1472,1369,1401,1473,591,621,613,647,1387,977,1239,1256,315,337,367,301,252,288
Adenine,155,235,421,384,248,238,358,228,325,472,581,181,279,383,448,516,655,708,921,358,490,693,947,254,386,351,400,180,258,230,290,347,585,591,630,234,182,267,307,334,390,489,805,700,748
Adenosine,442,386,281,339,337,286,319,392,240,277,284,244,237,210,232,1137,639,431,475,222,323,284,367,130,120,140,123,80,97,94,101,355,219,210,154,153,136,129,104,222,171,228,264,235,219
ADP,884,704,843,724,829,721,699,753,669,694,739,840,740,684,623,927,630,818,746,750,740,605,783,993,892,864,866,837,875,846,893,395,540,424,426,452,364,364,432,520,425,422,454,418,396
alpha-D-Ribose-5-phosphate,698,1241,1245,1144,935,947,930,819,1097,1083,943,576,943,786,864,888,1515,1480,1543,938,931,1031,931,868,1381,1215,955,839,1062,993,837,676,1097,1296,1260,648,806,782,766,785,811,643,1032,1202,910
alpha-Ketoglutaric-acid,115400,120595,101510,117060,149977,107001,121715,312220,103601,303772,107484,108323,110192,104350,106643,100517,108908,104943,114181,113152,104953,118504,115294,221980,133434,115168,130878,125318,124289,173373,126345,52934,50103,50475,48083,47100,57125,42273,45351,43317,40161,41800,6320,42276,36629
AMP,3710,4403,4050,4163,2748,3182,3058,3062,3957,3711,3904,2495,2654,2362,2669,4206,4589,4666,4948,2829,2956,3227,3178,3201,3606,3964,4085,2698,2919,2943,2797,1644,2386,2065,2010,1347,1289,1237,1378,1441,1593,1910,1819,1667,1733
Arginine,1265,1371,1429,1545,1380,1522,1568,1380,1373,1547,1477,1247,1228,1094,1480,1709,1921,2440,1897,1756,1999,1839,2007,1808,2398,2366,2584,2051,2168,2375,2625,1889,1787,1708,1969,2014,1640,1713,1875,1822,1845,1774,1978,1941,1890
Asparagine,9027,8543,9326,9510,9189,9768,9819,8065,8736,8647,9261,8823,8395,9093,9643,8360,8727,8813,9164,8634,9353,9565,8959,8620,9258,9658,9782,9265,9938,8633,8868,9166,9767,9831,8862,8996,7700,7586,8590,8119,7624,8384,8112,8396,8878
ATP,116350,113004,115211,109314,126146,126200,126226,106517,107778,105594,105141,123214,124079,113339,112709,108085,108570,107857,103350,114315,108174,104067,102849,117805,118272,117403,119650,128545,127132,121818,120974,46208,46508,45956,43418,48643,38196,37876,37905,39318,38263,40067,40044,39112,38310
cAMP,78,232,141,117,274,136,86,176,122,56,141,124,38,58,165,371,244,140,231,193,233,168,143,127,101,65,124,229,47,147,166,220,74,107,103,98,87,91,66,100,80,78,152,50,74
CDP,1882,1870,1452,1692,1749,1687,1485,1496,1500,1361,1291,1650,1495,1648,1233,1453,1484,1576,1813,1660,1695,1578,1489,1702,1674,1663,1929,1934,1855,1611,1946,688,891,741,671,795,702,749,582,670,757,769,601,663,640
cGMP,23,80,52,20,38,56,54,83,54,44,30,10,74,47,93,211,123,166,111,81,122,43,83,53,36,28,29,55,51,42,30,92,38,78,20,29,60,6,16,34,10,35,33,58,45
Citrate(IsoCitrate),282371,284811,284744,286603,294552,287960,289442,249473,249047,246268,248565,274243,268507,269093,263676,366852,370078,371285,367424,370963,363181,360692,359147,285617,285418,288756,285781,307898,297483,283937,276970,277083,277899,264062,259037,285105,222276,229166,234494,226940,222141,225838,223365,221203,214683
Citrulline,149,193,229,132,174,149,135,145,195,193,91,123,218,181,195,176,174,213,188,125,167,303,152,143,167,144,147,137,106,85,115,175,162,185,98,121,140,103,147,174,95,163,206,198,55
CMP,763,805,973,895,874,806,947,772,768,653,735,503,780,602,883,794,861,566,772,632,924,978,666,874,939,922,1008,907,798,853,1028,452,864,464,589,451,411,573,439,466,303,565,646,591,489
CTP,13267,12658,12365,12481,13621,13877,14057,11889,12347,12100,12066,13843,13811,12571,12594,11816,11431,11534,11239,12204,11410,11269,10916,12429,12617,12812,12763,13964,12680,13199,12427,6905,6266,6502,5738,7164,5562,5523,5540,5694,5583,5614,5638,5040,5499
Cystine,72,56,143,39,76,62,94,85,17,64,147,44,80,52,53,83,60,73,79,67,82,70,105,42,35,95,138,48,40,95,72,72,38,58,65,118,56,80,32,45,13,90,70,27,49
Cytidine,436,364,504,516,349,398,452,398,285,374,303,377,436,411,419,276,345,349,427,477,379,431,451,308,361,384,431,385,333,405,365,238,416,207,336,229,219,312,367,276,305,373,275,258,282
dADP,103,198,164,181,261,290,317,257,168,202,106,126,351,157,242,64,128,255,211,148,238,192,191,169,150,282,207,105,144,141,161,174,111,49,29,78,104,43,94,174,123,119,190,127,173
dAMP,5703,1716,1532,1242,1154,936,1242,5126,1496,1006,953,941,602,424,225,9870,5223,3188,2380,1626,1362,1149,926,565,474,382,283,319,260,377,246,326,238,263,142,183,74,159,129,160,233,229,341,204,160
dATP,1505,1524,1280,1477,1635,1742,1745,1451,1578,1325,1403,1611,1552,1616,1456,1267,1395,1387,1435,1460,1390,1386,1491,1502,1282,1564,1553,1714,1612,1481,1473,592,537,616,491,644,463,546,384,520,495,574,504,513,485
dCDP,38,27,36,37,62,33,62,27,39,19,61,26,21,15,55,15,6,14,24,51,20,40,33,114,61,89,139,93,89,98,111,32,28,4,24,60,93,47,42,61,32,35,36,27,20
