barcode	library1_2
1	E1A.01
2	E1A.02
3	E1A.03
4	E1A.04
5	E1A.05
6	E1A.06
7	E1A.07
8	E1A.08
9	E1B.01
10	E1B.02
11	E1B.03
12	E1B.04
13	E1B.05
14	E1B.06
15	E1B.07
16	E1B.08
17	E1C.01
18	E1C.02
19	E1C.03
20	E1C.04
21	E1C.05
22	E1C.06
23	E1C.07
24	E1C.08
25	E1A.09
26	E1A.10
27	E1B.09
28	E1B.10
29	E1C.09
30	E1C.10
31	U1O.01
32	U1O.02
33	E2A.01
34	E2A.02
35	E2A.03
36	E2A.04
37	E2A.05
38	E2A.06
39	E2A.07
40	E2A.08
41	E2B.01
42	E2B.02
43	E2B.03
44	E2B.04
45	E2B.05
46	E2B.06
47	E2B.07
48	E2B.08
49	E2C.01
50	E2C.02
51	E2C.03
52	E2C.04
53	E2C.05
54	E2C.06
55	E2C.07
56	E2C.08
57	E2A.09
58	E2A.10
59	E2B.09
60	E2B.10
61	E2C.09
62	E2C.10
63	U2O.01
64	U2O.02
65	E3A.01
66	E3A.02
67	E3A.03
68	E3A.04
69	E3A.05
70	U3A.06
71	E3A.07
72	E3A.08
73	E3B.01
74	E3B.02
75	E3B.03
76	E3B.04
77	E3B.05
78	E3B.06
79	E3B.07
80	E3B.08
81	E3C.01
82	E3C.02
83	E3C.03
84	E3C.04
85	E3C.05
86	E3C.06
87	E3C.07
88	E3C.08
89	E3A.09
90	E3A.10
91	E3B.09
92	E3B.10
93	E3C.09
94	E3C.10
95	U3O.01
96	U3O.02
97	E1A.11
98	E1A.12
99	E1A.13
100	E1A.14
101	E1A.15
102	E1A.16
103	U1A.17
104	E1A.18
105	E1B.11
106	E1B.12
107	E1B.13
108	E1B.14
109	E1B.15
110	E1B.16
111	E1B.17
112	E1B.18
113	E1C.11
114	E1C.12
115	E1C.13
116	E1C.14
117	E1C.15
118	E1C.16
119	E1C.17
120	E1C.18
121	E1A.19
122	E1A.20
123	E1B.19
124	E1B.20
125	E1C.19
126	E1C.20
127	U1O.03
128	U1O.04
129	E2A.11
130	E2A.12
131	E2A.13
132	E2A.14
133	E2A.15
134	E2A.16
135	E2A.17
136	E2A.18
137	E2B.11
138	E2B.12
139	E2B.13
140	E2B.14
141	E2B.15
142	E2B.16
143	E2B.17
144	E2B.18
145	E2C.11
146	E2C.12
147	E2C.13
148	E2C.14
149	E2C.15
150	E2C.16
151	E2C.17
152	E2C.18
153	E2A.19
154	E2A.20
155	E2B.19
156	E2B.20
157	E2C.19
158	E2C.20
159	U2O.03
160	U2O.04
161	E3A.11
162	E3A.12
163	U3A.13
164	E3A.14
165	E3A.15
166	E3A.16
167	U3A.17
168	E3A.18
169	E3B.11
170	E3B.12
171	E3B.13
172	U3B.14
173	E3B.15
174	E3B.16
175	E3B.17
176	E3B.18
177	E3C.11
178	E3C.12
179	E3C.13
180	E3C.14
181	E3C.15
182	E3C.16
183	E3C.17
184	E3C.18
185	E3A.19
186	E3A.20
187	E3B.19
188	E3B.20
189	E3C.19
190	E3C.20
191	U3O.03
192	U3O.04
