current_symbol,primary_FBid,sequence_loc
Parp1,FBgn0010247,3R:3461351..3587054(-1)
Alg-2,FBgn0086378,3R:3623143..3627690(1)
Tim17b,FBgn0263977,3R:3734855..3745306(1)
CG41128,FBgn0069923,3R:3750363..3752353(1)
CG41099,FBgn0039955,3R:3846729..3868401(1)
Gfat1,FBgn0287209,3R:4126442..4137882(1)
CG12581,FBgn0037213,3R:4174632..4186751(1)
beta-Man,FBgn0037215,3R:4197206..4204572(1)
aux,FBgn0037218,3R:4211783..4227518(1)
DhpD,FBgn0261436,3R:4227387..4229238(-1)
CG14641,FBgn0037220,3R:4230779..4232342(-1)
abs,FBgn0015331,3R:4233047..4235041(1)
Gel,FBgn0010225,3R:4235217..4241057(1)
TwdlF,FBgn0037224,3R:4247020..4248313(1)
cpx,FBgn0041605,3R:4280221..4304604(1)
Vps24,FBgn0037231,3R:4307435..4310947(-1)
MP1,FBgn0027930,3R:4307908..4309835(1)
Suv3,FBgn0037232,3R:4311555..4315398(1)
CG9795,FBgn0037234,3R:4319683..4326379(1)
CG9776,FBgn0027866,3R:4327814..4334071(-1)
Skp2,FBgn0037236,3R:4334879..4337674(-1)
CG1103,FBgn0037235,3R:4337755..4339914(1)
hkb,FBgn0261434,3R:4345015..4346646(-1)
Sfxn1-3,FBgn0037239,3R:4378600..4381210(1)
Cont,FBgn0037240,3R:4381306..4387018(1)
tub,FBgn0003882,3R:4387742..4389813(1)
CG14646,FBgn0037241,3R:4390366..4392111(1)
5-Mar,FBgn0037242,3R:4395979..4397875(-1)
CG9853,FBgn0086605,3R:4398381..4402027(-1)
CG14647,FBgn0037244,3R:4400510..4402017(1)
lncRNA:CR45187,FBgn0266697,3R:4402429..4402928(-1)
lost,FBgn0263594,3R:4403076..4407182(1)
srl,FBgn0037248,3R:4422483..4429335(-1)
eIF3a,FBgn0037249,3R:4429798..4433895(-1)
CG1074,FBgn0037250,3R:4433965..4436175(1)
Lipt2,FBgn0037251,3R:4436222..4437329(-1)
CG14650,FBgn0037252,3R:4437387..4441328(1)
CG31522,FBgn0051522,3R:4441415..4462883(-1)
CG31523,FBgn0051523,3R:4465421..4479207(-1)
Fip1,FBgn0037255,3R:4485008..4487677(1)
lncRNA:CR44317,FBgn0265376,3R:4596283..4599749(-1)
5-HT2A,FBgn0087012,3R:4612870..4633304(1)
CG9775,FBgn0037261,3R:4638010..4641838(-1)
MED31,FBgn0037262,3R:4641963..4643292(1)
slx1,FBgn0037263,3R:4641963..4644636(1)
Dlip2,FBgn0040466,3R:4644649..4645655(-1)
rpk,FBgn0022981,3R:4645981..4648884(1)
asRNA:CR44155,FBgn0265038,3R:4646433..4648242(-1)
Karybeta3,FBgn0087013,3R:4649176..4654624(1)
smash,FBgn0263346,3R:4659579..4712193(1)
eIF3f1,FBgn0037270,3R:4712882..4714182(-1)
tacc,FBgn0026620,3R:4733654..4749056(-1)
asRNA:CR46137,FBgn0267812,3R:4737500..4737908(1)
atms,FBgn0010750,3R:4750035..4777490(1)
ctrip,FBgn0260794,3R:4786284..4812096(-1)
Hus1-like,FBgn0026417,3R:4808336..4812096(-1)
Gmppb,FBgn0037279,3R:4811444..4816025(1)
CG14657,FBgn0037282,3R:4817980..4821432(-1)
opa,FBgn0003002,3R:4852813..4869979(1)
Gnf1,FBgn0004913,3R:4906622..4910081(1)
Cdep,FBgn0265082,3R:4910552..4945576(1)
Ubc6,FBgn0004436,3R:4948755..4952682(-1)
corto,FBgn0010313,3R:5077779..5087072(-1)
RabGGTa,FBgn0037293,3R:5128087..5129939(1)
cno,FBgn0259212,3R:5170004..5217456(-1)
CG1116,FBgn0037297,3R:5219657..5221548(1)
CG2604,FBgn0037298,3R:5221632..5223365(-1)
Vps37B,FBgn0037299,3R:5226158..5227526(1)
Kat60,FBgn0040208,3R:5227289..5232209(-1)
Mms19,FBgn0037301,3R:5232543..5236288(1)
CtsF,FBgn0260462,3R:5237651..5251745(-1)
Enoph,FBgn0037305,3R:5255444..5256681(-1)
Hph,FBgn0264785,3R:5257037..5269507(1)
mtd,FBgn0013576,3R:5270116..5350443(-1)
CG11999,FBgn0037312,3R:5353717..5354747(-1)
CG1161,FBgn0037313,3R:5355092..5356748(1)
Prosbeta7,FBgn0250746,3R:5357012..5358364(-1)
Cerk,FBgn0037315,3R:5358873..5368306(-1)
Polr2F,FBgn0003275,3R:5371795..5372397(1)
hd,FBgn0086695,3R:5372592..5374962(-1)
CG14667,FBgn0037317,3R:5375022..5376460(1)
CG1172,FBgn0264712,3R:5393922..5399510(1)
PEK,FBgn0037327,3R:5458563..5464753(-1)
RpL35A,FBgn0037328,3R:5465630..5467101(-1)
POLDIP2,FBgn0037329,3R:5467778..5469566(1)
mRpL44,FBgn0037330,3R:5469463..5470636(-1)
Snr1,FBgn0011715,3R:5470926..5472754(1)
Hcs,FBgn0037332,3R:5474899..5485393(1)
ksr,FBgn0015402,3R:5478390..5483906(-1)
CG31550,FBgn0051550,3R:5485543..5489489(1)
Itpr,FBgn0010051,3R:5517117..5539411(1)
CG2519,FBgn0037336,3R:5539510..5547775(-1)
mia,FBgn0014342,3R:5548115..5551168(-1)
Pcmt,FBgn0086768,3R:5552823..5554316(-1)
Snm1,FBgn0037338,3R:5555084..5557786(1)
Pi4KIIalpha,FBgn0037339,3R:5557663..5563652(-1)
CG14671,FBgn0037340,3R:5563977..5564815(-1)
CG12746,FBgn0037341,3R:5564865..5567435(1)
CG2931,FBgn0037342,3R:5567502..5568615(-1)
Rheb,FBgn0041191,3R:5568921..5570491(1)
CG2926,FBgn0037344,3R:5579301..5588380(-1)
PolZ2,FBgn0037345,3R:5588873..5589703(1)
noi,FBgn0014366,3R:5589601..5591459(-1)
Vha26,FBgn0283535,3R:5591763..5595356(1)
kra,FBgn0250753,3R:5595364..5601136(-1)
SecS,FBgn0037347,3R:5601433..5603185(1)
asl,FBgn0261004,3R:5603236..5606543(-1)
Rga,FBgn0017550,3R:5607275..5613112(-1)
sisRNA:1,FBgn0285959,3R:5609245..5609611(-1)
Atu,FBgn0019637,3R:5613358..5615939(1)
Spec2,FBgn0044823,3R:5616644..5624125(-1)
Dph4,FBgn0037350,3R:5622119..5624125(-1)
RpL13A,FBgn0037351,3R:5624474..5625947(1)
CG31549,FBgn0051549,3R:5632192..5633321(1)
CG12171,FBgn0037354,3R:5633627..5634640(1)
CG31548,FBgn0051548,3R:5635901..5636852(-1)
CG12170,FBgn0037356,3R:5637234..5638657(1)
MTA1-like,FBgn0027951,3R:5638655..5648738(-1)
Sec23,FBgn0262125,3R:5649065..5652629(1)
elm,FBgn0037358,3R:5652640..5654861(-1)
MED27,FBgn0037359,3R:5655139..5656336(1)
CG2182,FBgn0037360,3R:5656236..5659912(-1)
Wdr33,FBgn0046222,3R:5660635..5665169(1)
Xe7,FBgn0010772,3R:5665139..5669334(-1)
Atg17,FBgn0037363,3R:5669713..5679930(1)
Rab23,FBgn0037364,3R:5680054..5685434(-1)
plx,FBgn0261261,3R:5685855..5712837(1)
cas,FBgn0004878,3R:5712975..5716805(-1)
CG1239,FBgn0037368,3R:5733513..5734702(1)
CG2100,FBgn0037369,3R:5734698..5736355(-1)
CG1236,FBgn0037370,3R:5736748..5738013(1)
Sym,FBgn0037371,3R:5738178..5742476(-1)
Madm,FBgn0027497,3R:5742510..5747138(1)
Dcps,FBgn0037372,3R:5753318..5754774(-1)
Sec8,FBgn0266672,3R:5754932..5758997(-1)
